title,authors,categories,published_year
The Song of Rhiannon,Evangeline Walton,Fiction,1992.0
Heart Songs and Other Stories,Annie Proulx,Fiction,1995.0
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,1970.0
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,1978.0
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986.0
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,1982.0
Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,1953.0
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979.0
The Presocratics,Philip Wheelwright,Philosophy,1966.0
Spandau,Albert Speer,History,1976.0
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",1971.0
The Journey with Grandmother,Edith Unnerstad,Grandmothers,1960.0
Tyranny of the Majority,Lani Guinier,History,1995.0
The Origins of the Civil Rights Movement,Aldon D. Morris,History,1986.0
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,1991.0
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978.0
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,2000.0
Poppy's Return,Avi,Juvenile Fiction,2006.0
Diary of a Spider,Doreen Cronin,Juvenile Fiction,2005.0
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005.0
The Paradox of Choice,Barry Schwartz,Business & Economics,2005.0
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,2003.0
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001.0
The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004.0
Going Postal,Terry Pratchett,Fiction,2004.0
Modern Mind,Peter Watson,Science,2002.0
She Went All the Way,Meg Cabot,Fiction,2002.0
Island,Aldous Huxley,Fiction,1962.0
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,2006.0
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002.0
The Terminal Man,Michael Crichton,Fiction,2002.0
The Art of the Novel,Milan Kundera,Literary Criticism,2003.0
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,2003.0
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002.0
Identity,Milan Kundera,Fiction,1998.0
The thief of always,Clive Barker,Fiction,1992.0
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998.0
Mars and Venus Book of Days,John Gray,Family & Relationships,1998.0
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,1996.0
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,1998.0
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981.0
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963.0
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,1999.0
Laura's Album,William Anderson,Juvenile Nonfiction,1998.0
Quivers,Robin Quivers,African Americans in radio broadcasting,1995.0
Moonspinners,Mary Stewart,Fiction,2003.0
Small Wonder,Barbara Kingsolver,Literary Collections,2003.0
Worlds Enough & Time,Dan Simmons,Fiction,2002.0
The Cheese Monkeys,Chip Kidd,Fiction,2002.0
Travels,Michael Crichton,Biography & Autobiography,2002.0
Caesar,Colleen McCullough,Fiction,2003.0
The Forever War,Joe Haldeman,Fiction,2003.0
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003.0
The Secret Sister,Elizabeth Lowell,Fiction,2005.0
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005.0
Whirlpool,Elizabeth Lowell,Fiction,2006.0
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004.0
