title,authors,categories,published_year
Windblown World,Jack Kerouac;Douglas Brinkley,Biography & Autobiography,2006.0
The United States of Europe,T. R. Reid,History,2005.0
The Christians and the Fall of Rome,Edward Gibbon,History,2005.0
Why I Write,George Orwell,Language Arts & Disciplines,2005.0
On the Road,Jack Kerouac,Fiction,2005.0
The Stone Diaries,Carol Shields,Fiction,2005.0
Collapse,Jared M. Diamond,History,2006.0
March,Geraldine Brooks,Fiction,2006.0
The Mermaid Chair,Sue Monk Kidd,Fiction,2006.0
Grammar Snobs are Great Big Meanies,June Casagrande,Humor,2006.0
The City of Falling Angels,John Berendt,History,2006.0
Bargaining for Advantage,G. Richard Shell,Business & Economics,2006.0
The Memory Keeper's Daughter,Kim Edwards,Fiction,2006.0
The Big Over Easy,Jasper Fforde,Fiction,2006.0
The Read-aloud Handbook,Jim Trelease,Language Arts & Disciplines,2006.0
Tooth and Claw,T. Coraghessan Boyle,Fiction,2006.0
Rounding the Mark,Andrea Camilleri,Fiction,2006.0
The Social Contract,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,2004.0
Fear and Trembling,Søren Kierkegaard,Philosophy,2005.0
Bleak House,Charles Dickens;Nicola Bradbury,Fiction,2006.0
Good Poems for Hard Times,Garrison Keillor,Poetry,2006.0
Homegrown Democrat,Garrison Keillor,Political Science,2006.0
Let My People Go Surfing,Yvon Chouinard,Business & Economics,2006.0
The Joy Luck Club,Amy Tan,Fiction,2006.0
The Kitchen God's Wife,Amy Tan,Fiction,2006.0
The Bar on the Seine,Georges Simenon;David Watson,Fiction,2007.0
"Eat, Pray, Love",Elizabeth Gilbert,Biography & Autobiography,2007.0
The White Man's Burden,William Easterly,Business & Economics,2006.0
The quiet American,Graham Greene;Robert Stone,Fiction,1955.0
Complete Short Stories,Graham Greene,Fiction,2005.0
World of Wonders,Robertson Davies;Wayne Johnston,Fiction,2006.0
Sodom and Gomorrah,Marcel Proust,Fiction,2005.0
The Grapes of Wrath,John Steinbeck,Fiction,1939.0
The Tale of Genji,Murasaki Shikibu,Fiction,2006.0
The Complete Novels,Jane Austen,Fiction,2006.0
The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,2006.0
The Dharma Bums,Jack Kerouac,Fiction,1958.0
Malgudi Days,R. K. Narayan,Fiction,1982.0
The Outsiders,S. E. Hinton;Jodi Picoult,Fiction,1967.0
Sometimes a Great Notion,Ken Kesey,Fiction,1964.0
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,2006.0
Gravity's Rainbow,Thomas Pynchon,Fiction,1973.0
Life is a Dream,Pedro Calderón de la Barca,Drama,2006.0
Black Lamb and Grey Falcon,Rebecca West,History,2007.0
Mrs. Dalloway,Virginia Woolf,Fiction,2002.0
Animal Farm and 1984,George Orwell,Fiction,2003.0
Janet Flanner's world,Janet Flanner;Irving Drutman,Fiction,1979.0
The Stone Fey,Robin McKinley,Juvenile Fiction,1998.0
How I Became a Pirate,Melinda Long;David Shannon,Juvenile Fiction,2003.0
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,2003.0
The Secret School,Avi,Juvenile Fiction,2003.0
Winter is the Warmest Season,Lauren Stringer,Juvenile Fiction,2006.0
Doomed Queen Anne,Carolyn Meyer,Juvenile Fiction,2004.0
Gifts,Ursula K. Le Guin,Juvenile Fiction,2006.0
The Hundred Dresses,Eleanor Estes,Juvenile Fiction,2004.0
"Patience, Princess Catherine",Carolyn Meyer,Juvenile Fiction,2005.0
Voices,Ursula K. Le Guin,Juvenile Fiction,2006.0
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,2006.0
Beauty Shop for Rent,Laura Bowers,Juvenile Fiction,2007.0
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,2006.0
The Sleeping Giant and Other Stories,Eleanor Estes,Folklore,1948.0
The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,1995.0
Winterdance,Gary Paulsen,Pets,1994.0
This Is the Way the World Ends,James Morrow,Fiction,1986.0
The Double Flame,Octavio Paz,Literary Collections,1996.0
All the King's Men,Robert Penn Warren,Fiction,1982.0
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,Fiction,1998.0
The History of the Siege of Lisbon,José Saramago,Fiction,1998.0
Slammerkin,Emma Donoghue,Fiction,2000.0
Blindness,José Saramago;Giovanni Pontiero,Fiction,1999.0
All the Names,José Saramago;Margaret Jull Costa,Fiction,2001.0
"Poems, New and Collected, 1957-1997",Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,2000.0
The Last Life,Claire Messud,Fiction,2000.0
The Tale of the Unknown Island,José Saramago,Fiction,2000.0
Tales from Margaritaville,Jimmy Buffett,Fiction,2002.0
The Cyberiad,Stanislaw Lem,Fiction,2002.0
Four Comedies,Aristophanes;Dudley Fitts,Drama,2002.0
The Common Reader,Virginia Woolf,Literary Collections,1984.0
A Writer's Diary,Virginia Woolf;Leonard Woolf,Biography & Autobiography,2003.0
Women and Writing,Virginia Woolf,Literary Criticism,2003.0
The Cave,José Saramago,Fiction,2003.0
"Gun, with Occasional Music",Jonathan Lethem,Fiction,2003.0
A Drink Before the War,Dennis Lehane,Fiction,2003.0
Baudolino,Umberto Eco,Fiction,2003.0
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,Fiction,2003.0
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,Fiction,2004.0
Book Club,Yann Martel,,
The Female of the Species,Joyce Carol Oates,Fiction,2007.0
Flowers for Algernon,Daniel Keyes,Fiction,2005.0
A Room of One's Own,Virginia Woolf;Susan Gubar,Fiction,2005.0
To the Lighthouse,Virginia Woolf,Fiction,1927.0
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,Fiction,2006.0
Rose of No Man's Land,Michelle Tea,Fiction,2007.0
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,2006.0
The People of Paper,Salvador Plascencia,Fiction,2005.0
Virginia Woolf,Julia Briggs,Biography & Autobiography,2006.0
On Literature,Umberto Eco,Literary Collections,2005.0
The Pirates Laffite,William C. Davis,Biography & Autobiography,2006.0
Foucault's Pendulum,Umberto Eco,Fiction,2007.0
Between the Acts,Virginia Woolf,Fiction,1969.0
Big Anthony and the Magic Ring,Tomie DePaola,Juvenile Fiction,1979.0
The Collected Stories of Eudora Welty,Eudora Welty,Literary Collections,1980.0
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,Fiction,1989.0
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,"Authors, American",1966.0
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,1977.0
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,1980.0
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,Biography & Autobiography,1979.0
The Diary of Virginia Woolf,Virginia Woolf,Biography & Autobiography,1980.0
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,Biography & Autobiography,1981.0
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,Biography & Autobiography,1983.0
Diary Of Virginia Woolf Volume 5,Virginia Woolf,Biography & Autobiography,1985.0
Difficult Loves,Italo Calvino,Fiction,1984.0
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,Biography & Autobiography,1985.0
E. M. Forster,Philip Nicholas Furbank,Biography & Autobiography,1981.0
Fiasco,Stanislaw Lem,Fiction,1988.0
Henry and June,Anaïs Nin,"Authors, American",1986.0
Homage to Catalonia,George Orwell,History,1952.0
Incest,Anaïs Nin,Biography & Autobiography,1993.0
The Inheritors,William Golding,Fiction,1962.0
Invisible Cities,Italo Calvino,Fiction,1978.0
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,Biography & Autobiography,1980.0
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,Fiction,1983.0
Moments of Being,Virginia Woolf,Biography & Autobiography,1985.0
Mrs. Dalloway,Virginia Woolf,Fiction,1981.0
Mrs. Miniver,Jan Struther,Fiction,1990.0
Murder in the Cathedral,Thomas Stearns Eliot,Drama,1963.0
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,Fiction,1977.0
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,Fiction,1973.0
The Orwell Reader,George Orwell,Literary Collections,1961.0
The Philosophy of Andy Warhol,Andy Warhol,Art,1977.0
To the Lighthouse,Virginia Woolf,Fiction,1981.0
Travels in Hyper Reality,Umberto Eco,Literary Collections,1990.0
The Uses of Literature,Italo Calvino,Literary Criticism,1987.0
The Virginia Woolf Reader,Virginia Woolf,Literary Criticism,1984.0
The Waste Land,Thomas Stearns Eliot;Ezra Pound,Poetry,1974.0
The Watcher & Other Stories,Italo Calvino,Fiction,1975.0
The Waves,Virginia Woolf,Experimental fiction,1959.0
More Readings from One Man's Wilderness,Richard Proenneke,Frontier and pioneer life,2005.0
Tales of the Norse Gods,,Juvenile Fiction,2001.0
Party Shoes,Noel Streatfeild,Children's stories,2002.0
Cart And Cwidder,Diana Wynne Jones,Juvenile Fiction,2003.0
"Moby Dick, Or, The White Whale",Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,Juvenile Fiction,1998.0
Typhoon and Other Tales,Joseph Conrad,Fiction,2002.0
Hegel: A Very Short Introduction,Peter Singer,Philosophy,2001.0
Emma,Jane Austen,Literary Criticism,2003.0
Pride and Prejudice,Jane Austen,Fiction,2004.0
Persuasion,Jane Austen,Fiction,2004.0
Mansfield Park,Jane Austen,Literary Criticism,2003.0
Phaedrus,Plato;Robin Waterfield,Philosophy,2002.0
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,History,2004.0
The Major Works,John Milton,Literary Criticism,2003.0
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,Fiction,2005.0
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,2006.0
Candide and Other Stories,Voltaire,Fiction,2006.0
The Picture of Dorian Gray,Oscar Wilde,Fiction,2006.0
Confessions,Jean-Jacques Rousseau,Literary Criticism,2000.0
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,Fiction,2000.0
Four Gothic Novels,Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley,,1994.0
The Histories,Herodotus,History,1998.0
The First Philosophers,Robin Waterfield,Philosophy,2000.0
The Antiquary,Sir Walter Scott,Fiction,2002.0
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,Fiction,1998.0
Orestes and Other Plays,Euripides;James Morwood,Literary Criticism,2001.0
Jane Austen's Letters,Jane Austen,Fiction,1997.0
Agricola and Germany,Tacitus,Literary Collections,1999.0
Miss Or Mrs?,Wilkie Collins,Fiction,1999.0
Great Expectations,Charles Dickens,Fiction,1998.0
The Canterbury Tales,Geoffrey Chaucer;David Wright,Poetry,1998.0
Complete Shorter Fiction,Oscar Wilde,Fiction,1998.0
War and Peace,Leo Tolstoy;graf Leo Tolstoy,Fiction,1998.0
The Castle of Otranto,Horace Walpole,Fiction,1998.0
The Bostonians,Henry James,Fiction,1998.0
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,Poetry,1998.0
Hans Andersen's Fairy Tales,Hans Christian Andersen,Juvenile Fiction,1998.0
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,Fiction,1998.0
Daisy Miller and Other Stories,Henry James,Fiction,1998.0
Selected Philosophical Writings,Saint Thomas (Aquinas),Religion,1998.0
The Ladies' Paradise,Émile Zola,Fiction,1998.0
A Sentimental Education,Gustave Flaubert,Fiction,2000.0
Faust,Johann Wolfgang von Goethe,Fiction,1998.0
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,1986.0
First Love and Other Stories,Ivan Sergeevich Turgenev,Fiction,1999.0
The Confidence-man,Herman Melville,Literary Criticism,1999.0
The Eclogues ; The Georgics,Virgil,Agriculture,1999.0
Scenes of Clerical Life,George Eliot,Fiction,2000.0
Jacques the Fatalist and His Master,Denis Diderot,Fiction,1999.0
The Notebooks of Leonardo Da Vinci,Leonardo Da Vinci;Leonardo (da Vinci),Art,1952.0
Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,1998.0
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie,Drama,1999.0
La chartreuse de Parme,Jm Stendhal,Fiction,1999.0
Mrs Dalloway,Virginia Woolf,First loves,2000.0
Dubliners,James Joyce,Fiction,2000.0
"Evelina, Or, The History of a Young Lady's Entrance Into the World",Fanny Burney,Fiction,2002.0
Aesop's Fables,Laura Gibbs,Fiction,2002.0
A Memoir of Jane Austen,James Edward Austen-Leigh,Biography & Autobiography,2002.0
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,Philosophy,2004.0
Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,2001.0
The Origins of Life,John Maynard Smith;Eörs Szathmáry,Science,2000.0
Augustine,Henry Chadwick,History,1986.0
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,2000.0
Growing Old in America,David Hackett Fischer,Religion,1978.0
Alcestis,Euripides,Medical,1989.0
Albion's Seed,David Hackett Fischer,Fiction,1989.0
Inferno,Dante Alighieri,Literary Criticism,1997.0
Paul Revere's Ride,David Hackett Fischer,Art,1995.0
Justice Oliver Wendell Holmes,G. Edward White,Literary Criticism,1995.0
Notebooks of the Mind,Vera John-Steiner,Psychology,1997.0
Masters of Small Worlds,Stephanie McCurry,History,1997.0
Ride of the Second Horseman,Robert L. O'Connell,History,1997.0
The Great Wave,David Hackett Fischer,Business & Economics,1999.0
Bakkhai,Euripides;Reginald Gibbons;Charles Segal,Drama,2001.0
Manic-Depressive Illness,Frederick K. Goodwin;Kay Redfield Jamison,Medical,2007.0
The Oresteia,Aeschylus,Drama,2003.0
El Libertador,Simón Bolívar,Literary Collections,2003.0
Medea,Eurípides;Michael Collier;Georgia Machemer,Drama,2006.0
Philosophy of Mind,David John Chalmers,Philosophy,2002.0
Norse Mythology,John Lindow,Fiction,2001.0
Battle Cry of Freedom,James M. McPherson,History,2005.0
Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,Philosophy,2007.0
Strategies of Containment,John Lewis Gaddis,History,2005.0
The Faiths of the Founding Fathers,David L. Holmes,Biography & Autobiography,2006.0
Acts of God,Ted Steinberg,History,2006.0
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,Mathematics,2007.0
Aristophanes' Peace,Aristophanes;S. Douglas Olson,Drama,1998.0
Lysistrata,Aristophanes;Jeffrey Henderson,Literary Criticism,1990.0
A Midsummer Night's Dream,William Shakespeare,Juvenile Nonfiction,2001.0
Julius Caesar,William Shakespeare,Juvenile Nonfiction,2001.0
King Lear,William Shakespeare,Juvenile Nonfiction,2002.0
Macbeth,William Shakespeare,Juvenile Nonfiction,2004.0
Much Ado about Nothing,William Shakespeare,Juvenile Nonfiction,2004.0
The Oxford Dictionary of Quotations,Oxford University Press;TME.,Reference,1999.0
The Canterbury Tales,Helen Cooper,Literary Criticism,1996.0
"Medieval Philosophy : A New History of Western Philosophy, Volume 2",Anthony Kenny,Philosophy,2005.0
Contemporary Political Philosophy,Will Kymlicka,Philosophy,2002.0
Clouds,Aristophanes,Drama,1970.0
The Major Works,Alexander Pope,Poetry,2006.0
"Power, Sex, Suicide",Nick Lane,Science,2006.0
The Oxford Companion to Philosophy,Ted Honderich,Philosophy,2005.0
The Church in Ancient Society,Henry Chadwick,Religion,2003.0
William Shakespeare: The Complete Works,William Shakespeare,Drama,2005.0
East and West: The Making of a Rift in the Church,Henry Chadwick,Religion,2005.0
An Introduction to Political Philosophy,Jonathan Wolff,Philosophy,2006.0
"Thermodynamics, Kinetic Theory, and Statistical Thermodynamics",Francis Weston Sears;Gerhard Ludwig Salinger,Kinetic theory of gases,1975.0
Six Easy Pieces,Richard P. Feynman,Science,1996.0
Robin Williams Web Design Workshop,John Tollett;Robin Williams;David Rohr,Computers,2002.0
The Actor in You,Robert L. Benedetti,Performing Arts,2005.0
It's Not about the Bike,Lance Armstrong;Sally Jenkins,Cancer,2001.0
Non-Fiction,Chuck Palahniuk,Curiosities and wonders,2004.0
Every Second Counts,Lance Armstrong;Sally Jenkins,Cancer,2004.0
Quimby the Mouse,Chris Ware,Graphic novels,2003.0
The Crescent Obscured,Robert Allison,History,2000.0
The Bridge on the Drina,Ivo Andríc,Fiction,1977.0
Love and Saint Augustine,Hannah Arendt;Joanna Vecchiarelli Scott;Judith Chelius Stark,Family & Relationships,1996.0
Plato's Symposium,Plato;Seth Benardete,Philosophy,2001.0
Philosophy in a Time of Terror,Jürgen Habermas;Giovanna Borradori;Jacques Derrida,History,2004.0
"A Preface to Democratic Theory, Expanded Edition",Robert A. Dahl,Political Science,2006.0
Lost Prophet,John D'Emilio,Biography & Autobiography,2004.0
The Work of Mourning,Jacques Derrida,Literary Criticism,2003.0
"History of Religious Ideas, Volume 3",Mircea Eliade,Religion,1988.0
Bengal Nights,Mircea Eliade,Fiction,1995.0
The Complete Tales of Nikolai Gogol,Nikolai Gogol;Николай Васильевич Гоголь,Fiction,1985.0
"Love, Sex & Tragedy",Simon Goldhill,History,2005.0
Complete Greek Tragedies,David Grene;Richmond Lattimore,,1942.0
Greek tragedies,Sophocles;Aeschylus;Euripides,Drama,1992.0
The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,Drama,1992.0
Greek Tragedies,David Grene;Richmond Lattimore,Literary Criticism,1960.0
Oresteia,Esquilo;Aeschylus,Erinyes (Greek mythology),1953.0
Euripides I,Euripides,Greek drama (Tragedy),1955.0
The Complete Greek Tragedies,David Grene;Richmond Lattimore,,1973.0
Aeschylus: The suppliant maidens,Aeschylus;David Grene,Drama,1991.0
"Billy Budd, Sailor",Herman Melville,Fiction,1962.0
Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,Religion,1949.0
Works of Hesiod and the Homeric Hymns,Hesiod,Poetry,2005.0
"The Progressive Historians--Turner, Beard, Parrington",Richard Hofstadter,History,1979.0
The Collaborator,Alice Kaplan,History,2001.0
Heat Wave,Eric Klinenberg,History,2003.0
Moral Politics,George Lakoff,Language Arts & Disciplines,2002.0
A River Runs Through It,Norman Maclean,Biography & Autobiography,1989.0
Young Men and Fire,Norman Maclean,Biography & Autobiography,1993.0
"Antitrust Law, Second Edition",Richard A. Posner,Law,2001.0
A Dance to the Music of Time,Anthony Powell,Fiction,1995.0
Mystical Poems of Rumi Translated,Jalāl al-Dīn Rūmī (Maulana);A. J. Arberry,,1968.0
The Family Idiot,Jean-Paul Sartre,Biography & Autobiography,1981.0
History of Political Philosophy,Leo Strauss;Joseph Cropsey,Philosophy,1987.0
From Counterculture to Cyberculture,Fred Turner,Social Science,2006.0
Genetics and the Origin of Species,Theodosius Dobzhansky,Science,1982.0
The Pillow Book of Sei Sh?nagon,Sei Shōnagon,Literary Collections,1991.0
Three Plays by Kobo Abe,Kōbō Abe,Fiction,1993.0
Discovering Plato,Alexandre Koyre,,1960.0
"The Columbia Reader on Lesbians and Gay Men in Media, Society, and Politics",Larry P. Gross;James D. Woods,Social Science,1999.0
Poems Between Women,Emma Donoghue,Poetry,1999.0
Antigone's Claim,Judith Butler,Philosophy,2002.0
The Vital Illusion,Jean Baudrillard;Julia Witwer,Literary Criticism,2000.0
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades,Usāmah ibn Munqidh;Philip Khuri Hitti,History,2000.0
William Faulkner,Nicolas Tredell,Literary Criticism,1999.0
"Nathaniel Hawthorne, The Scarlet Letter",Nathaniel Hawthorne,Literary Criticism,2000.0
The Poetry of Sylvia Plath,Claire Brennan,Literary Criticism,1999.0
The Intellectuals and the Flag,Todd Gitlin;Professor of Culture Journalism and Sociology Todd Gitlin,Political Science,2006.0
More Than You Know,Michael J. Mauboussin,Business & Economics,2006.0
Nietzsche and Philosophy,Gilles Deleuze,Philosophy,2006.0
Remembering JFK,Jacques Lowe;Hugh Sidey,Presidents,2003.0
Oliver Twist,Pauline Francis;Charles Dickens,Juvenile Nonfiction,2003.0
"20,000 Leagues Under the Sea",Jules Verne;Pauline Francis,Children's stories,2004.0
Avid Editing,Sam Kauffmann,Performing Arts,2003.0
Directing the Documentary,Michael Rabiger,Performing Arts,2004.0
The Very Hungry Caterpillar,Eric Carle,Babytime resource,1994.0
The Best of McSweeney's,Dave Eggers,"Short stories, American",2005.0
Stuart Little,Elwyn Brooks White,"Little, Stuart (Fictitious character)",1946.0
The Dark Descent,David G. Hartwell,"Horror tales, English",1990.0
Zora Neale Hurston,Robert E. Hemenway,Biography & Autobiography,1980.0
Chicago Stories,James Thomas Farrell;Professor James T Farrell,Fiction,1998.0
Dante's Vita Nuova,Alighieri Dante;Dante Alighieri,Literary Criticism,1973.0
A Theory of Semiotics,Umberto Eco,Literary Criticism,1979.0
The Role of the Reader,Umberto Eco,Literary Criticism,1984.0
The Basic Problems of Phenomenology,Martin Heidegger,Philosophy,1988.0
Hegel's Phenomenology of Spirit,Martin Heidegger,Philosophy,1994.0
Dante's Inferno,Dante (Alighieri);Dante Alighieri,Poetry,1995.0
Introduction to Documentary,Bill Nichols,Performing Arts,2001.0
The Treason of Isengard,John Ronald Reuel Tolkien;Christopher Tolkien,English fiction,2002.0
The Lost Road,John Ronald Reuel Tolkien;Christopher Tolkien,,2002.0
The Lays of Beleriand,John Ronald Reuel Tolkien;Christopher Tolkien,Poetry,2002.0
The Lord of the Rings,J. R. R. Tolkien,Fiction,1991.0
The Silmarillion,John Ronald Reuel Tolkien,Fantasy,1999.0
The Monsters and the Critics,John Ronald Reuel Tolkien,Beowulf,1997.0
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien;Alan Lee,"Baggins, Bilbo (Fictitious character)",1997.0
The Silmarillion,John Ronald Reuel Tolkien,"Fantasy fiction, English",1998.0
The Parallax View,Slavoj Žižek,Philosophy,2006.0
Structure and Interpretation of Computer Programs,Harold Abelson;Gerald Jay Sussman;Julie Sussman,Computers,1996.0
The Man Who Tasted Shapes,Richard E. Cytowic,Medical,2003.0
Elbow Room,Daniel Clement Dennett,Philosophy,1984.0
Theory of Colours,Johann Wolfgang von Goethe;Donald Eastlake,Art,1970.0
An Odyssey in Learning and Perception,Eleanor J. Gibson,Psychology,1994.0
Pop Internationalism,Paul R. Krugman,Business & Economics,1997.0
"Development, Geography, and Economic Theory",Paul R. Krugman,Business & Economics,1997.0
Inattentional Blindness,Arien Mack;Irvin Rock,Psychology,2000.0
The Language of New Media,Lev Manovich;Roger F. Malina;Sean Cubitt,Art,2001.0
"Turtles, Termites, and Traffic Jams",Mitchel Resnick,Computers,1997.0
Looking Awry,Slavoj Žižek,Performing Arts,1992.0
The Puppet and the Dwarf,Slavoj Žižek;Žižek;Stockholm Inst Of Transition Staff;Mladen Dolar;Alenka Zupancic,Philosophy,2003.0
Treatise on Happiness,Saint Thomas (Aquinas);Thomas Aquinas,Philosophy,1983.0
Marketing and the Bottom Line,Tim Ambler,Business & Economics,2003.0
"Traders, Guns & Money",Satyajit Das,Business & Economics,2006.0
The Heights of Courage,Avigdor Kahalani,History,1992.0
C. S. Lewis,Bruce L. Edwards,Literary Criticism,2007.0
The Lost World of Agharti,Alec Maclellan,"Body, Mind & Spirit",1996.0
Zero,Charles Seife,Zero (The number),2003.0
Zen Buddhism & Psychoanalysis,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,1974.0
The Wanderer,Knut Hamsun;Gunnvor Stallybrass,English fiction,2001.0
Memoirs,Pablo Neruda,"Poets, Chilean",2004.0
Paso Del Norte,Juan Rulfo,Fiction,1967.0
100 Love Sonnets,Pablo Neruda,Poetry,1986.0
Long Day's Journey,Carlos A. Schwantes,History,1999.0
Philip Vera Cruz,Craig Scharlin;Lilia V Villanueva,Biography & Autobiography,2000.0
Mark Twain's Own Autobiography,Mark Twain,"Authors, American",1990.0
Letters to J. D. Salinger,Chris Kubica;Will Hochman,Biography & Autobiography,2002.0
The Poems of Alexander Pope,Alexander Pope,Poetry,1963.0
Psychoanalysis and Religion,Erich Fromm,Psychology,1950.0
"Euthyphro, Apology, Crito, Meno, Gorgias, Menexenus",Plato,Philosophy,1984.0
The Shaping of America: A Geographical Perspective on 500 Years of History,D. W. Meinig,History,1986.0
Seeing Like a State,James C. Scott,Political Science,1998.0
Leonardo on Painting,Leonardo,Art,2001.0
Dreaming in Pictures,Douglas Robert Nickel;Lewis Carroll;San Francisco Museum of Modern Art,Photography,2002.0
Art and Beauty in the Middle Ages,Umberto Eco,Art,2002.0
Long Day's Journey Into Night,Eugene O'Neill,Drama,2002.0
Marcel Proust,William C. Carter,Biography & Autobiography,2002.0
How Democratic is the American Constitution?,Robert A. Dahl,History,2003.0
The Voices of Morebath,Eamon Duffy,History,2003.0
Hamlet,William Shakespeare;Burton Raffel;Harold Bloom,Drama,2003.0
Cosmos,Witold Gombrowicz;Danuta Borchardt,Fiction,2005.0
Cuba,Richard Gott,History,2005.0
Eva Hesse Drawing,"Menil collection (Houston, Tex.).;Eva Hesse;Drawing center (New York).;Drawing Center (New York, N.Y.);Walker Art Center (Minneapolis, Minn.).;Museum of Contemporary Art (Los Angeles, Calif.)",Art,2006.0
The Annotated Waste Land with Eliot's Contemporary Prose,Thomas Stearns Eliot;Lawrence S. Rainey,Literary Criticism,2006.0
Hannibal,Leonard Cottrell,History,1992.0
The Collapse of the Third Republic,William Lawrence Shirer,History,1994.0
The Complete Short Stories Of Robert Louis Stevenson,Charles Neider;Robert Louis Stevenson,Literary Collections,1998.0
Hemingway,Jeffrey Meyers,Literary Collections,1999.0
Unsung Heroes of Rock 'n' Roll,Nick Tosches,Biography & Autobiography,1999.0
The Dark Side Of Genius,Donald Spoto,Performing Arts,1999.0
Sammlung,Mark Twain,Literary Collections,2000.0
Johnny Cash,Michael Streissguth,Biography & Autobiography,2006.0
23 Days in July,John Wilcockson,Sports & Recreation,2005.0
75 Years of Little Golden Books: 1942-2017,Margaret Wise Brown;Ruth Krauss;Richard Scarry;Dennis R. Shealy;Kathryn Jackson;Byron Jackson;Janette Sebring Lowrey;Gertrude Crampton;Jane Werner Watson,Animals,2017.0
The Deeper Meaning of Liff,Douglas Adams;John Lloyd,Humor,2005.0
The Last Boleyn,Karen Harper,Fiction,2006.0
Giada's Family Dinners,Giada De Laurentiis,Cooking,2006.0
The Spy Who Barked,George Edward Stanley,Juvenile Fiction,2002.0
Terrorist,John Updike,Fiction,2006.0
Beloved,Toni Morrison,Fiction,2006.0
The Name of the Rose,Umberto Eco,Fiction,2006.0
The Road,Cormac McCarthy,Fiction,2006.0
The Best of Wodehouse,Pelham Grenville Wodehouse,Fiction,2007.0
Buried Child,Sam Shepard,Drama,2006.0
The Devil Wears Prada,Lauren Weisberger,Fiction,2006.0
Death Match,Lincoln Child,Fiction,2006.0
The Lighthouse,P. D. James,Fiction,2006.0
If Beale Street Could Talk,James Baldwin,Fiction,2006.0
A Million Little Pieces,James Frey,Biography & Autobiography,2004.0
Robert Langdon Novels,Dan Brown,Art museum curators,2003.0
The Sunset Limited,Cormac McCarthy,Drama,2006.0
A Walk in the Woods,Bill Bryson,Sports & Recreation,2007.0
The Civil War,Shelby Foote,United States,
The Alchemist's Daughter,Katharine McMahon,Fiction,2006.0
Cesar's Way,Cesar Millan;Melissa Jo Peltier,Pets,2006.0
"Small Bites, Big Nights",Govind Armstrong;Ann Wycoff;Alison Clare Steingold,Cooking,2007.0
Why Do Men Fall Asleep After Sex?,Mark Leyner;Billy Goldberg,Health & Fitness,2006.0
Everyday Pasta,Giada De Laurentiis,Cooking,2007.0
Dreams from My Father,Barack Obama,Biography & Autobiography,2007.0
